Country,2010,,2013,Numeric
Afghanistan,54.8,Afghanistan,59.92601,5.12601
Albania,72.6,Albania,77.20967,4.60967
Algeria,71.3,Algeria,75.26168,3.96168
Angola,45.3,Angola,51.07346,5.77346
Antigua and Barbuda,73.6,Antigua and Barbuda,76.07896,2.47896
Argentina,74.1,Argentina,76.0191,1.9191
Armenia,72,Armenia,74.36308,2.36308
Australia,79.5,Australia,82.46722,2.96722
Austria,78.1,Austria,81.06575,2.96575
Azerbaijan,66.6,Azerbaijan,72.23805,5.63805
Bahamas,72.6,Bahamas,74.84582,2.24582
Bahrain,74.5,Bahrain,76.65276,2.15276
Bangladesh,65.3,Bangladesh,71.01307,5.71307
Barbados,73.3,Barbados,75.21317,1.91317
Belarus,68,Belarus,71.72385,3.72385
Belgium,77.6,Belgium,80.66297,3.06297
Belize,68.3,Belize,69.79741,1.49741
Benin,55.4,Benin,59.45502,4.05502
Bhutan,60.2,Bhutan,69.06744,8.86744
Bolivia (Plurinational State of),62.6,"Bolivia, Plurinational State of",70.0771,7.4771
Bosnia and Herzegovina,74.6,Bosnia and Herzegovina,77.02735,2.42735
Botswana,47.8,Botswana,64.21846,16.41846
Brazil,70.5,Brazil,74.73164,4.23164
Brunei Darussalam,74.4,Brunei Darussalam,77.07726,2.67726
Bulgaria,71.1,Bulgaria,74.12443,3.02443
Burkina Faso,50.1,Burkina Faso,58.95446,8.85446
Burundi,50.8,Burundi,58.60011,7.80011
Cabo Verde,69.9,Cabo Verde,72.79063,2.89063
Cambodia,57.7,Cambodia,67.79114,10.09114
Cameroon,51.4,Cameroon,56.43423,5.03423
Canada,79.1,Canada,81.82275,2.72275
Central African Republic,46,Central African Republic,49.93576,3.93576
Chad,47.6,Chad,52.18766,4.58766
Chile,77.3,Chile,80.14998,2.84998
China,71.7,China,75.58276,3.88276
Colombia,71.4,Colombia,74.39403,2.99403
Comoros,59.5,Comoros,62.8992,3.3992
Congo,52.9,Congo,63.94545,11.04545
Costa Rica,77.6,Costa Rica,79.44212,1.84212
Cote d'Ivoire,47.9,Cote d'Ivoire,52.34333,4.44333
Croatia,74.7,Croatia,77.65092,2.95092
Cuba,76.9,Cuba,78.69524,1.79524
Cyprus,78.1,Cyprus,80.14259,2.04259
Czech Republic,74.7,Czechia,78.22158,3.52158
Denmark,76.9,Denmark,80.14989,3.24989
Djibouti,57.4,Djibouti,62.67741,5.27741
Dominican Republic,72,Dominican Republic,73.39816,1.39816
Ecuador,72.8,Ecuador,76.01488,3.21488
Egypt,68.8,Egypt,70.85864,2.05864
El Salvador,69,El Salvador,72.96488,3.96488
Equatorial Guinea,52.7,Equatorial Guinea,57.38615,4.68615
Eritrea,45.3,Eritrea,64.00847,18.70847
Estonia,70.8,Estonia,76.88,6.08
Ethiopia,51.2,Ethiopia,63.74931,12.54931
Fiji,67.7,Fiji,69.56206,1.86206
Finland,77.5,Finland,80.7297,3.2297
France,78.8,France,81.99919,3.19919
Gabon,60.1,Gabon,64.58082,4.48082
Gambia,55.9,Gambia,60.55776,4.65776
Georgia,71.8,Georgia,74.54204,2.74204
Germany,78,Germany,80.55242,2.55242
Ghana,57.2,Ghana,61.91974,4.71974
Greece,78.2,Greece,80.63278,2.43278
Grenada,70.4,Grenada,73.32068,2.92068
Guatemala,67.7,Guatemala,71.40676,3.70676
Guinea,52.5,Guinea,58.84431,6.34431
Guinea-Bissau,52.1,Guinea-Bissau,58.12134,6.02134
Guyana,65.4,Guyana,65.93163,0.53163
Haiti,58.6,Haiti,62.69797,4.09797
Honduras,71,Honduras,74.27006,3.27006
Hungary,71.7,Hungary,75.47681,3.77681
Iceland,79.7,Iceland,82.41537,2.71537
India,62.5,India,67.61797,5.11797
Indonesia,66.3,Indonesia,68.704,2.404
Iran (Islamic Republic of),70.3,"Iran, Islamic Republic of",75.26443,4.96443
Iraq,70,Iraq,69.45579,-0.54421
Ireland,76.4,Ireland,80.96538,4.56538
Israel,78.9,Israel,82.10788,3.20788
Italy,79.4,Italy,82.32586,2.92586
Jamaica,72.6,Jamaica,75.58058,2.98058
Japan,81.1,Japan,83.52387,2.42387
Jordan,71.7,Jordan,73.85904,2.15904
Kazakhstan,63.9,Kazakhstan,69.52629,5.62629
Kenya,51.9,Kenya,62.57568,10.67568
Kiribati,64.1,Kiribati,65.84379,1.74379
"Korea, Republic of",65.4,"Korea, Democratic People's Republic of",70.06003,4.66003
Democratic Republic of the Congo,51.3,"Korea, Republic of",81.68476,30.38476
Lao People's Democratic Republic,58.1,Lao People's Democratic Republic,64.86088,6.76088
Latvia,70.1,Latvia,74.06218,3.96218
Lebanon,72.7,Lebanon,74.8673,2.1673
Lesotho,49.3,Lesotho,52.11234,2.81234
Liberia,51.9,Liberia,61.10963,9.20963
Libya,70.8,Libya,72.85607,2.05607
Lithuania,71.6,Lithuania,73.0193,1.4193
Luxembourg,77.8,Luxembourg,81.44892,3.64892
Madagascar,57.9,Madagascar,64.71928,6.81928
Malawi,43.1,Malawi,56.68938,13.58938
Malaysia,72.4,Malaysia,74.60231,2.20231
Maldives,69.6,Maldives,77.88964,8.28964
Mali,49.8,Mali,57.26088,7.46088
Malta,77.5,Malta,81.09828,3.59828
Mauritania,60,Mauritania,62.74218,2.74218
Mauritius,71,Mauritius,74.10355,3.10355
Mexico,74.8,Mexico,76.63389,1.83389
Micronesia (Federated States of),67,"Micronesia, Federated States of",69.19045,2.19045
Mongolia,62.8,Mongolia,68.10599,5.30599
Montenegro,73,Montenegro,75.80652,2.80652
Morocco,68.6,Morocco,73.89715,5.29715
Mozambique,49,Mozambique,55.27068,6.27068
Myanmar,62.1,Myanmar,66.15154,4.05154
Namibia,57.4,Namibia,66.08712,8.68712
Nepal,62.5,Nepal,69.27148,6.77148
Netherlands,78.1,Netherlands,81.3809,3.2809
New Zealand,78.6,New Zealand,81.29157,2.69157
Nicaragua,70.3,Nicaragua,73.87334,3.57334
Niger,50,Niger,60.89352,10.89352
Nigeria,47.1,Nigeria,53.16155,6.06155
Norway,78.5,Norway,81.48119,2.98119
Oman,72.6,Oman,76.16706,3.56706
Pakistan,62.8,Pakistan,65.98781,3.18781
Panama,75.7,Panama,77.50749,1.80749
Papua New Guinea,58.9,Papua New Guinea,62.41537,3.51537
Paraguay,70.9,Paraguay,73.76443,2.86443
Peru,71.4,Peru,75.28803,3.88803
Philippines,66.8,Philippines,68.06879,1.26879
Poland,73.7,Poland,77.05921,3.35921
Portugal,76.6,Portugal,80.61548,4.01548
Qatar,76.2,Qatar,77.94932,1.74932
Romania,70.7,Romania,74.60338,3.90338
Russia,65,Russia,69.99681,4.99681
Rwanda,48.3,Rwanda,65.23911,16.93911
Saint Lucia,71.6,Saint Lucia,74.77778,3.17778
Saint Vincent and the Grenadines,70.9,Saint Vincent and the Grenadines,72.68603,1.78603
Samoa,70.2,Samoa,73.58279,3.38279
Sao Tome and Principe,62.6,Sao Tome and Principe,67.14532,4.54532
Saudi Arabia,72.6,Saudi Arabia,74.25284,1.65284
Senegal,57.5,Senegal,66.03338,8.53338
Serbia,72.6,Serbia,75.2808,2.6808
Seychelles,71.8,Seychelles,72.89406,1.09406
Sierra Leone,39,Sierra Leone,50.39339,11.39339
Singapore,78.3,Singapore,82.67023,4.37023
Slovakia,73,Slovakia,76.09109,3.09109
Slovenia,76,Slovenia,80.4547,4.4547
Solomon Islands,65.8,Solomon Islands,68.82217,3.02217
Somalia,50.5,Somalia,54.20847,3.70847
South Africa,57.3,South Africa,60.89896,3.59896
South Sudan,48.9,South Sudan,56.37253,7.47253
Spain,79.1,Spain,82.38602,3.28602
Sri Lanka,71.5,Sri Lanka,74.55085,3.05085
Sudan,58.6,Sudan,63.50551,4.90551
Suriname,67.4,Suriname,71.24409,3.84409
Swaziland,48.4,Swaziland,57.5793,9.1793
Sweden,79.6,Sweden,81.94165,2.34165
Switzerland,79.7,Switzerland,82.96751,3.26751
Syrian Arab Republic,72.6,Syrian Arab Republic,63.61972,-8.98028
Tajikistan,63.7,Tajikistan,69.27447,5.57447
Thailand,71.1,Thailand,74.46014,3.36014
Timor-Leste,58.7,Timor-Leste,67.67768,8.97768
Togo,54.6,Togo,59.41954,4.81954
Tonga,71.6,Tonga,73.16799,1.56799
Trinidad and Tobago,69.1,Trinidad and Tobago,70.98109,1.88109
Tunisia,72.9,Tunisia,74.94267,2.04267
Turkey,70.4,Turkey,75.18435,4.78435
Turkmenistan,63.8,Turkmenistan,65.35018,1.55018
Uganda,46.6,Uganda,60.68042,14.08042
Ukraine,67.5,Ukraine,70.98906,3.48906
United Arab Emirates,74.2,United Arab Emirates,76.70663,2.50663
United Kingdom,77.8,United Kingdom,80.68333,2.88333
United States,76.8,United States,78.85654,2.05654
Uruguay,75.1,Uruguay,76.76608,1.66608
Uzbekistan,67.1,Uzbekistan,69.06442,1.96442
Vanuatu,69,Vanuatu,71.59818,2.59818
Venezuela (Bolivarian Republic of),72.5,"Venezuela, Bolivarian Republic of",73.83881,1.33881
Viet Nam,73.4,Viet Nam,75.70722,2.30722
Yemen,60.8,Yemen,65.35676,4.55676
Zambia,43.8,Zambia,60.28272,16.48272
Zimbabwe,46,Zimbabwe,57.99748,11.99748